"NUTS_ID";"name";"letter"
"SE110";"Stockholms län";"AB"
"SE121";"Uppsala län";"C"
"SE122";"Södermanlands län";"D"
"SE123";"Östergötlands län";"E"
"SE124";"Örebro län";"T"
"SE125";"Västmanlands län";"U"
"SE211";"Jönköpings län";"F"
"SE212";"Kronobergs län";"G"
"SE213";"Kalmar län";"H"
"SE214";"Gotlands län";"I"
"SE221";"Blekinge län";"K"
"SE224";"Skåne län";"M"
"SE231";"Hallands län";"N"
"SE232";"Västra Götalands län";"O"
"SE311";"Värmlands län";"S"
"SE312";"Dalarnas län";"W"
"SE313";"Gävleborgs län";"X"
"SE321";"Västernorrlands län";"Y"
"SE322";"Jämtlands län";"Z"
"SE331";"Västerbottens län";"AC"
"SE332";"Norrbottens län";"BD"
